Cust_ID,Cust_Age,Cust_Gender,Cust_Marital_Status,Cust_Dependents,Cust_Education,Cust_Employment_Status,Cust_Occupation_Sector,Cust_Annual_Income_USD,Cust_Home_Ownership,Account_ID,Account_Type,Account_Open_Date,Account_Status,Account_KYC_Tier,Primary_Branch_Region,Total_Assets_Under_Management,Has_Active_Credit_Card,Has_Active_Loan,Digital_Banking_Enrollment,Txn_ID,Txn_Timestamp,Txn_Type,Txn_Channel,Txn_Amount_USD,Txn_Currency,Counterparty_ID,Counterparty_Type,Merchant_Category_Code_MCC,Txn_Response_Code,Orig_Balance_Before,Orig_Balance_After,Dest_Balance_Before,Dest_Balance_After,Monthly_Avg_Inflow,Monthly_Avg_Outflow,Overdraft_Limit_USD,Days_In_Overdraft_L12M,Credit_Card_Utilization_Rate,Delinquency_Status,Risk_Score_Internal,Bureau_Credit_Score,Device_Type,Device_IP_Country,Is_VPN_Used,Login_Attempts_Fail_Count,Txn_Velocity_1H,Behavioral_Anomaly_Flag,Target_Credit_Default,Target_Is_Fraud_AML
CUST-00000001,50,M,Single,0,Undergraduate,Employed,Finance,41397.17,Own_Mortgage,ACCT-000000001,Credit_Card,2014-01-15,Active,Tier_3_Premium,North,18422.44,True,False,True,TXN-0000000001,2024-09-16 19:56:16,ACH_Debit,Mobile_App,16369.01,USD,CP-002645610,Individual,7995,Approved,6175.59,-10193.42,35282.83,51651.840000000004,2658.43,2095.62,7069.86,0,0.4,Current,728,723,iOS,US,False,0,2,False,False,False
CUST-00000001,50,M,Single,0,Undergraduate,Employed,Finance,41397.17,Own_Mortgage,ACCT-000000001,Credit_Card,2014-01-15,Active,Tier_3_Premium,North,18422.44,True,False,True,TXN-0000000002,2024-02-09 10:45:25,ACH_Debit,Mobile_App,31.27,EUR,CP-003452183,Individual,7011,Approved,5256.88,5225.61,90616.14,90647.41,2658.43,2095.62,7069.86,0,0.4,Current,728,723,iOS,US,False,0,2,False,False,False
CUST-00000001,50,M,Single,0,Undergraduate,Employed,Finance,41397.17,Own_Mortgage,ACCT-000000001,Credit_Card,2014-01-15,Active,Tier_3_Premium,North,18422.44,True,False,True,TXN-0000000003,2024-02-03 17:42:10,Online_Shopping,Mobile_App,60.59,Local,CP-003883175,Small_Business,7011,Approved,4171.75,4111.16,73146.4,73206.99,2658.43,2095.62,7069.86,0,0.4,Current,728,723,Android,US,False,0,2,False,False,False
CUST-00000001,50,M,Single,0,Undergraduate,Employed,Finance,41397.17,Own_Mortgage,ACCT-000000001,Credit_Card,2014-01-15,Active,Tier_3_Premium,North,18422.44,True,False,True,TXN-0000000004,2024-05-13 13:12:06,POS_Purchase,Branch_ATM,62.19,USD,CP-001218473,Mega_Corporation,5912,Approved,5048.68,4986.490000000001,28436.39,28498.58,2658.43,2095.62,7069.86,0,0.4,Current,728,723,Android,US,False,0,1,False,False,False
CUST-00000001,50,M,Single,0,Undergraduate,Employed,Finance,41397.17,Own_Mortgage,ACCT-000000001,Credit_Card,2014-01-15,Active,Tier_3_Premium,North,18422.44,True,False,True,TXN-0000000005,2024-04-28 05:21:14,Online_Shopping,Mobile_App,3.89,USD,CP-000408250,Individual,7995,Approved,2623.69,2619.8,56224.12,56228.01,2658.43,2095.62,7069.86,0,0.4,Current,728,723,Android,US,False,0,4,False,False,False
CUST-00000001,50,M,Single,0,Undergraduate,Employed,Finance,41397.17,Own_Mortgage,ACCT-000000001,Credit_Card,2014-01-15,Active,Tier_3_Premium,North,18422.44,True,False,True,TXN-0000000006,2024-08-27 14:28:00,POS_Purchase,Web_Portal,109.52,USD,CP-002229961,Individual,7011,Approved,2065.13,1955.6100000000001,66495.86,66605.38,2658.43,2095.62,7069.86,0,0.4,Current,728,723,MacOS,US,False,0,4,False,False,False
CUST-00000001,50,M,Single,0,Undergraduate,Employed,Finance,41397.17,Own_Mortgage,ACCT-000000001,Credit_Card,2014-01-15,Active,Tier_3_Premium,North,18422.44,True,False,True,TXN-0000000007,2024-09-07 12:28:48,Online_Shopping,Web_Portal,43.85,USD,CP-002235011,Small_Business,5921,Approved,1194.97,1151.1200000000001,72585.25,72629.1,2658.43,2095.62,7069.86,0,0.4,Current,728,723,Android,FR,False,0,2,False,False,False
CUST-00000001,50,M,Single,0,Undergraduate,Employed,Finance,41397.17,Own_Mortgage,ACCT-000000001,Credit_Card,2014-01-15,Active,Tier_3_Premium,North,18422.44,True,False,True,TXN-0000000008,2024-09-19 16:49:29,POS_Purchase,Branch_ATM,146.6,USD,CP-001371387,Small_Business,5541,Approved,2456.13,2309.53,1907.24,2053.84,2658.43,2095.62,7069.86,0,0.4,Current,728,723,Android,US,False,3,2,False,False,False
CUST-00000001,50,M,Single,0,Undergraduate,Employed,Finance,41397.17,Own_Mortgage,ACCT-000000001,Credit_Card,2014-01-15,Active,Tier_3_Premium,North,18422.44,True,False,True,TXN-0000000009,2024-05-27 13:46:46,Online_Shopping,Mobile_App,150.35,USD,CP-003650994,Individual,5921,Approved,1403.4,1253.0500000000002,30633.17,30783.52,2658.43,2095.62,7069.86,0,0.4,Current,728,723,Android,US,False,0,1,False,False,False
CUST-00000001,50,M,Single,0,Undergraduate,Employed,Finance,41397.17,Own_Mortgage,ACCT-000000001,Credit_Card,2014-01-15,Active,Tier_3_Premium,North,18422.44,True,False,True,TXN-0000000010,2024-03-17 22:20:54,POS_Purchase,Web_Portal,2221.46,USD,CP-000785816,High_Risk_Exchange,5661,Approved,4724.32,2502.8599999999997,95289.55,97511.01,2658.43,2095.62,7069.86,0,0.4,Current,728,723,Windows,US,False,0,2,True,False,False
CUST-00000001,50,M,Single,0,Undergraduate,Employed,Finance,41397.17,Own_Mortgage,ACCT-000000001,Credit_Card,2014-01-15,Active,Tier_3_Premium,North,18422.44,True,False,True,TXN-0000000011,2024-12-27 19:20:52,Online_Shopping,Web_Portal,11.86,USD,CP-001611943,Individual,5812,Approved,6060.35,6048.490000000001,89675.61,89687.47,2658.43,2095.62,7069.86,0,0.4,Current,728,723,iOS,US,False,0,1,False,False,False
CUST-00000001,50,M,Single,0,Undergraduate,Employed,Finance,41397.17,Own_Mortgage,ACCT-000000001,Credit_Card,2014-01-15,Active,Tier_3_Premium,North,18422.44,True,False,True,TXN-0000000012,2024-08-29 12:15:49,Online_Shopping,Mobile_App,486.8,USD,CP-002238056,Individual,5921,Approved,1213.48,726.6800000000001,44945.45,45432.25,2658.43,2095.62,7069.86,0,0.4,Current,728,723,Android,US,False,0,1,False,False,False
CUST-00000001,50,M,Single,0,Undergraduate,Employed,Finance,41397.17,Own_Mortgage,ACCT-000000001,Credit_Card,2014-01-15,Active,Tier_3_Premium,North,18422.44,True,False,True,TXN-0000000013,2024-07-16 14:25:08,ACH_Debit,Branch_ATM,10269.04,USD,CP-002635357,Individual,5651,Approved,4053.89,-6215.1500000000015,84635.09,94904.13,2658.43,2095.62,7069.86,0,0.4,Current,728,723,iOS,US,False,0,0,False,False,False
CUST-00000001,50,M,Single,0,Undergraduate,Employed,Finance,41397.17,Own_Mortgage,ACCT-000000001,Credit_Card,2014-01-15,Active,Tier_3_Premium,North,18422.44,True,False,True,TXN-0000000014,2024-04-23 21:46:16,POS_Purchase,Mobile_App,79.48,USD,CP-003808376,Small_Business,5651,Approved,3881.25,3801.77,19516.83,19596.31,2658.43,2095.62,7069.86,0,0.4,Current,728,723,Android,US,False,0,0,False,False,False
CUST-00000001,50,M,Single,0,Undergraduate,Employed,Finance,41397.17,Own_Mortgage,ACCT-000000001,Credit_Card,2014-01-15,Active,Tier_3_Premium,North,18422.44,True,False,True,TXN-0000000015,2024-02-18 05:54:05,ACH_Debit,Web_Portal,124.4,USD,CP-002353403,Individual,5732,Insufficient_Funds,3969.51,3969.51,88520.78,88520.78,2658.43,2095.62,7069.86,0,0.4,Current,728,723,Android,IT,False,0,2,False,False,False
CUST-00000001,50,M,Single,0,Undergraduate,Employed,Finance,41397.17,Own_Mortgage,ACCT-000000001,Credit_Card,2014-01-15,Active,Tier_3_Premium,North,18422.44,True,False,True,TXN-0000000016,2024-07-25 07:27:48,ACH_Debit,Mobile_App,7249.6,USD,CP-002188214,Individual,5921,Approved,3611.45,-3638.1500000000005,53320.15,60569.75,2658.43,2095.62,7069.86,0,0.4,Current,728,723,Windows,US,False,0,1,False,False,False
CUST-00000001,50,M,Single,0,Undergraduate,Employed,Finance,41397.17,Own_Mortgage,ACCT-000000001,Credit_Card,2014-01-15,Active,Tier_3_Premium,North,18422.44,True,False,True,TXN-0000000017,2024-10-15 21:11:09,Online_Shopping,Web_Portal,47.14,USD,CP-000572961,Small_Business,5814,Approved,2131.69,2084.55,74951.4,74998.54,2658.43,2095.62,7069.86,0,0.4,Current,728,723,Windows,US,False,0,3,False,False,False
CUST-00000001,50,M,Single,0,Undergraduate,Employed,Finance,41397.17,Own_Mortgage,ACCT-000000001,Credit_Card,2014-01-15,Active,Tier_3_Premium,North,18422.44,True,False,True,TXN-0000000018,2024-07-03 13:38:09,POS_Purchase,Mobile_App,1.59,USD,CP-001251420,Small_Business,7011,Approved,5213.14,5211.55,47385.54,47387.13,2658.43,2095.62,7069.86,0,0.4,Current,728,723,Android,JP,False,0,0,False,False,False
CUST-00000001,50,M,Single,0,Undergraduate,Employed,Finance,41397.17,Own_Mortgage,ACCT-000000001,Credit_Card,2014-01-15,Active,Tier_3_Premium,North,18422.44,True,False,True,TXN-0000000019,2024-02-11 01:23:28,ATM_Withdrawal,Mobile_App,1601.73,USD,CP-001514544,Individual,5651,Approved,4960.09,3358.36,89424.36,91026.09,2658.43,2095.62,7069.86,0,0.4,Current,728,723,Windows,US,False,0,3,False,False,False
CUST-00000001,50,M,Single,0,Undergraduate,Employed,Finance,41397.17,Own_Mortgage,ACCT-000000001,Credit_Card,2014-01-15,Active,Tier_3_Premium,North,18422.44,True,False,True,TXN-0000000020,2024-11-17 01:12:27,Wire_Transfer,Mobile_App,69.99,Local,CP-001590329,Small_Business,5311,Approved,5617.69,5547.7,86815.54,86885.53,2658.43,2095.62,7069.86,0,0.4,Current,728,723,MacOS,US,False,0,4,False,False,False
CUST-00000001,50,M,Single,0,Undergraduate,Employed,Finance,41397.17,Own_Mortgage,ACCT-000000001,Credit_Card,2014-01-15,Active,Tier_3_Premium,North,18422.44,True,False,True,TXN-0000000021,2024-11-15 22:28:58,ATM_Withdrawal,Mobile_App,75.79,USD,CP-002040448,Small_Business,5661,Approved,3271.06,3195.27,73556.54,73632.33,2658.43,2095.62,7069.86,0,0.4,Current,728,723,Windows,US,False,0,3,False,False,False
CUST-00000001,50,M,Single,0,Undergraduate,Employed,Finance,41397.17,Own_Mortgage,ACCT-000000001,Credit_Card,2014-01-15,Active,Tier_3_Premium,North,18422.44,True,False,True,TXN-0000000022,2024-10-09 17:03:18,POS_Purchase,Mobile_App,603.48,EUR,CP-002226074,Individual,7011,Approved,5256.82,4653.34,86054.2,86657.68,2658.43,2095.62,7069.86,0,0.4,Current,728,723,iOS,US,False,0,2,False,False,False
CUST-00000001,50,M,Single,0,Undergraduate,Employed,Finance,41397.17,Own_Mortgage,ACCT-000000001,Credit_Card,2014-01-15,Active,Tier_3_Premium,North,18422.44,True,False,True,TXN-0000000023,2024-01-07 20:33:20,POS_Purchase,Mobile_App,729.42,Local,CP-001513257,Mega_Corporation,4814,Approved,4395.88,3666.46,21615.49,22344.91,2658.43,2095.62,7069.86,0,0.4,Current,728,723,iOS,US,False,0,0,False,False,False
CUST-00000001,50,M,Single,0,Undergraduate,Employed,Finance,41397.17,Own_Mortgage,ACCT-000000001,Credit_Card,2014-01-15,Active,Tier_3_Premium,North,18422.44,True,False,True,TXN-0000000024,2024-08-11 12:15:38,POS_Purchase,Mobile_App,52.17,USD,CP-002986328,Individual,7995,Approved,4218.38,4166.21,18179.38,18231.55,2658.43,2095.62,7069.86,0,0.4,Current,728,723,Android,US,False,0,3,False,False,False
CUST-00000001,50,M,Single,0,Undergraduate,Employed,Finance,41397.17,Own_Mortgage,ACCT-000000001,Credit_Card,2014-01-15,Active,Tier_3_Premium,North,18422.44,True,False,True,TXN-0000000025,2024-09-15 16:14:34,ACH_Debit,Web_Portal,53.65,USD,CP-000831363,Small_Business,5661,Approved,1026.93,973.2800000000001,73452.29,73505.93999999999,2658.43,2095.62,7069.86,0,0.4,Current,728,723,iOS,US,False,0,2,False,False,False
CUST-00000001,50,M,Single,0,Undergraduate,Employed,Finance,41397.17,Own_Mortgage,ACCT-000000001,Credit_Card,2014-01-15,Active,Tier_3_Premium,North,18422.44,True,False,True,TXN-0000000026,2024-06-25 16:03:42,POS_Purchase,Mobile_App,10562.37,USD,CP-002826247,Individual,5999,Approved,1987.28,-8575.09,98714.08,109276.45,2658.43,2095.62,7069.86,0,0.4,Current,728,723,iOS,US,False,0,1,False,False,False
